"GEOID","NAMELSAD","Particulate.Matter"
"26075006804","Census Tract 68.04",6.48016258545763
"26075006304","Census Tract 63.04",6.27627719369152
"26075006303","Census Tract 63.03",6.06647720711023
"26075006803","Census Tract 68.03",6.31865327523955
"26075006900","Census Tract 69",8.78986470964604
"26075006402","Census Tract 64.02",6.6762027900098
"26075006500","Census Tract 65",6.35280885076574
"26075006600","Census Tract 66",6.19464073375236
"26075006701","Census Tract 67.01",6.20528169536457
"26075006801","Census Tract 68.01",6.34249335949637
"26075006702","Census Tract 67.02",6.50074981305552
"26075005800","Census Tract 58",7.0786333978858
"26075005200","Census Tract 52",6.66838038009698
"26075000100","Census Tract 1",8.67454287093169
"26075005100","Census Tract 51",6.97750776795897
"26075000500","Census Tract 5",8.80000019073486
"26075001000","Census Tract 10",8.84938795420939
"26075000200","Census Tract 2",8.84936306309222
"26075000400","Census Tract 4",8.20418452553556
"26075000600","Census Tract 6",8.86037375265968
"26075000800","Census Tract 8",7.99193867164603
"26075000900","Census Tract 9",8.80000019073486
"26075001100","Census Tract 11",8.93610091960986
"26075001200","Census Tract 12",8.56381509876932
"26075001300","Census Tract 13",8.66665923108669
"26075005000","Census Tract 50",7.60285211713764
"26075005301","Census Tract 53.01",7.33911925982873
"26075005302","Census Tract 53.02",6.89841705076059
"26075005400","Census Tract 54",6.75240373623854
"26075005500","Census Tract 55",7.36464774903499
"26075005600","Census Tract 56",6.4190853033538
"26075005700","Census Tract 57",7.17765449723397
"26075005900","Census Tract 59",7.09786885633797
"26075006000","Census Tract 60",6.67077467669128
"26075006100","Census Tract 61",6.82689979324694
"26075006200","Census Tract 62",6.40976814852178
"26075006301","Census Tract 63.01",6.5211461377777
"26075006401","Census Tract 64.01",6.57296605347487
