"GEOID","NAMELSAD","Particulate.Matter"
"28059041900","Census Tract 419",8.34180135023726
"28059041800","Census Tract 418",7.69298294766945
"28059042000","Census Tract 420",7.84366424611763
"28059041300","Census Tract 413",6.78455928391113
"28059042700","Census Tract 427",6.71618038360701
"28059041100","Census Tract 411",6.6407429290895
"28059040101","Census Tract 401.01",6.87016452266063
"28059040300","Census Tract 403",6.98871904131574
"28059041400","Census Tract 414",7.32087607174963
"28059042500","Census Tract 425",7.2543195236151
"28059040102","Census Tract 401.02",6.70870010593793
"28059040201","Census Tract 402.01",6.79261099303691
"28059040800","Census Tract 408",6.69619097811669
"28059042200","Census Tract 422",8.84200597071878
"28059042900","Census Tract 429",6.71237931192783
"28059040203","Census Tract 402.03",6.79602027701212
"28059040204","Census Tract 402.04",6.72074200516048
"28059042100","Census Tract 421",7.99791912815824
"28059040400","Census Tract 404",6.70595849487139
"28059040500","Census Tract 405",6.99360031288815
"28059042600","Census Tract 426",8.00670452640557
"28059040600","Census Tract 406",6.83032442278232
"28059040700","Census Tract 407",7.01542248147743
"28059040900","Census Tract 409",6.52074231645986
"28059041000","Census Tract 410",6.91344526156034
"28059041500","Census Tract 415",6.8778506258387
"28059041600","Census Tract 416",7.17206206076182
"28059041700","Census Tract 417",7.34054966686542
