"GEOID","NAMELSAD","Particulate.Matter"
"05069002400","Census Tract 24",7.7781920409563
"05069002500","Census Tract 25",7.33404213391183
"05069000502","Census Tract 5.02",8.17117491760558
"05069001901","Census Tract 19.01",7.66072258737411
"05069002104","Census Tract 21.04",7.67116622547394
"05069000301","Census Tract 3.01",7.65995863428263
"05069001402","Census Tract 14.02",8.92088770108778
"05069002000","Census Tract 20",7.7410293316907
"05069000302","Census Tract 3.02",7.84907283745396
"05069000900","Census Tract 9",9.15213104411793
"05069001401","Census Tract 14.01",8.84738551371465
"05069000102","Census Tract 1.02",6.79269147709324
"05069002300","Census Tract 23",7.17557590133897
"05069000303","Census Tract 3.03",8.4629607468708
"05069001000","Census Tract 10",9.93211415710494
"05069001200","Census Tract 12",10.1307584031304
"05069001300","Census Tract 13",10.0475157827003
"05069001501","Census Tract 15.01",9.10380494930198
"05069001502","Census Tract 15.02",9.30920860250991
"05069001600","Census Tract 16",10.0731727374782
"05069001700","Census Tract 17",9.03369824069462
"05069001800","Census Tract 18",8.85770820917999
"05069001903","Census Tract 19.03",8.07312673323429
"05069002103","Census Tract 21.03",7.88316797528583
