"GEOID","NAMELSAD","Particulate.Matter"
"48251130208","Census Tract 1302.08",8.53033442407545
"48251131000","Census Tract 1310",8.07224273400224
"48251131100","Census Tract 1311",9.13346156402604
"48251130409","Census Tract 1304.09",7.65306547665475
"48251130800","Census Tract 1308",8.96566892381812
"48251130215","Census Tract 1302.15",7.96387169198937
"48251130205","Census Tract 1302.05",9.1520345018126
"48251130500","Census Tract 1305",7.23812548130444
"48251130100","Census Tract 1301",7.27368182029006
"48251130900","Census Tract 1309",7.91941483509607
"48251130207","Census Tract 1302.07",8.3257978056279
"48251130700","Census Tract 1307",8.28942835600408
"48251130204","Census Tract 1302.04",8.84424382647792
"48251130405","Census Tract 1304.05",8.27657789707138
"48251130408","Census Tract 1304.08",8.0452131762187
"48251130406","Census Tract 1304.06",8.14682854083703
"48251130302","Census Tract 1303.02",7.61338328614409
"48251130410","Census Tract 1304.10",7.85073320816891
"48251130213","Census Tract 1302.13",7.42426233954369
"48251130602","Census Tract 1306.02",6.97951878188482
"48251130212","Census Tract 1302.12",7.57983399822361
"48251130210","Census Tract 1302.10",7.81755065901308
"48251130304","Census Tract 1303.04",7.6289909251772
"48251130211","Census Tract 1302.11",8.03854518025418
"48251130303","Census Tract 1303.03",7.52442884565149
"48251130601","Census Tract 1306.01",7.02998861288124
"48251130214","Census Tract 1302.14",7.75201733672425
"48251130407","Census Tract 1304.07",8.14338202612771
