"GEOID","NAMELSAD","Particulate.Matter"
"39095004600","Census Tract 46",8.5162904435468
"39095004701","Census Tract 47.01",8.99642242782704
"39095004800","Census Tract 48",9.08538834274229
"39095005000","Census Tract 50",8.96940312575286
"39095005100","Census Tract 51",9.1103208715162
"39095005200","Census Tract 52",8.96779527513813
"39095005300","Census Tract 53",8.8881406329287
"39095005400","Census Tract 54",9.2993162351328
"39095005501","Census Tract 55.01",6.51486360419981
"39095005502","Census Tract 55.02",6.90552382032456
"39095005600","Census Tract 56",8.67337253278265
"39095005701","Census Tract 57.01",9.15516842071393
"39095005702","Census Tract 57.02",9.27529695710621
"39095005703","Census Tract 57.03",9.2661376048161
"39095005801","Census Tract 58.01",8.61019364469564
"39095005802","Census Tract 58.02",9.30891687854898
"39095005902","Census Tract 59.02",9.29356795741881
"39095006000","Census Tract 60",9.17337563599239
"39095006100","Census Tract 61",9.22676023508119
"39095006200","Census Tract 62",9.25759007833406
"39095006400","Census Tract 64",9.10212097888125
"39095006500","Census Tract 65",9.04403657308612
"39095006600","Census Tract 66",8.92427834605895
"39095006700","Census Tract 67",9.02657213313173
"39095006800","Census Tract 68",8.93681384248405
"39095007001","Census Tract 70.01",8.64495538186993
"39095007002","Census Tract 70.02",7.75932304705271
"39095007101","Census Tract 71.01",8.37851742133883
"39095007102","Census Tract 71.02",8.10148273047807
"39095007202","Census Tract 72.02",8.40961991946892
"39095007203","Census Tract 72.03",8.64029591536118
"39095006900","Census Tract 69",8.82345172448709
"39095007204","Census Tract 72.04",9.18231553136083
"39095008100","Census Tract 81",9.05038132945469
"39095008201","Census Tract 82.01",8.30769641478643
"39095008202","Census Tract 82.02",8.36536224795321
"39095007205","Census Tract 72.05",8.84503057304767
"39095007301","Census Tract 73.01",8.62131217579597
"39095007500","Census Tract 75",8.76607732415741
"39095007600","Census Tract 76",8.78421384890681
"39095007700","Census Tract 77",8.9657906657435
"39095008203","Census Tract 82.03",8.66133408361832
"39095008301","Census Tract 83.01",8.81541147427261
"39095008302","Census Tract 83.02",8.22619271165453
"39095008400","Census Tract 84",8.70940271384789
"39095008500","Census Tract 85",8.85695367855604
"39095008600","Census Tract 86",8.44742188859561
"39095008700","Census Tract 87",7.99757111116006
"39095008800","Census Tract 88",8.87562756101346
"39095007800","Census Tract 78",9.1634435784483
"39095008000","Census Tract 80",8.94332366280599
"39095008901","Census Tract 89.01",7.06375301052734
"39095008902","Census Tract 89.02",7.35864949781693
"39095009000","Census Tract 90",7.08648164523953
"39095009201","Census Tract 92.01",6.90967438901808
"39095009102","Census Tract 91.02",7.34046682976707
"39095009101","Census Tract 91.01",7.27255255191102
"39095009600","Census Tract 96",6.89676827168327
"39095010300","Census Tract 103",9.18965489691968
"39095010200","Census Tract 102",8.96381855918214
"39095000900","Census Tract 9",9.19766450036645
"39095003900","Census Tract 39",9.18986288947174
"39095004000","Census Tract 40",9.3284286937428
"39095000800","Census Tract 8",9.16348720350606
"39095001400","Census Tract 14",9.10000038146973
"39095001700","Census Tract 17",9.10000038146973
"39095002300","Census Tract 23",9.10000038146973
"39095002402","Census Tract 24.02",9.10000038146973
"39095001202","Census Tract 12.02",9.00281443954791
"39095002900","Census Tract 29",9.10000038146973
"39095007303","Census Tract 73.03",8.5732280118237
"39095003100","Census Tract 31",9.09767479536607
"39095003300","Census Tract 33",9.20484830037588
"39095003400","Census Tract 34",9.16431818154563
"39095003600","Census Tract 36",9.22561559675246
"39095003700","Census Tract 37",9.17253608642772
"39095001900","Census Tract 19",9.10000038146973
"39095004702","Census Tract 47.02",8.79204419595856
"39095010002","Census Tract 100.02",8.50743141456799
"39095002700","Census Tract 27",9.12855963461311
"39095001302","Census Tract 13.02",9.017549525167
"39095007400","Census Tract 74",8.46316035452855
"39095005901","Census Tract 59.01",9
"39095004400","Census Tract 44",9.12677791819861
"39095004503","Census Tract 45.03",8.54797789127131
"39095004504","Census Tract 45.04",7.73951361987102
"39095000200","Census Tract 2",9.29465498495913
"39095004900","Census Tract 49",9.01991206571757
"39095007302","Census Tract 73.02",8.75488319339709
"39095010001","Census Tract 100.01",8.08383232554266
"39095001100","Census Tract 11",9.1358785378034
"39095003200","Census Tract 32",9.21019958977945
"39095001201","Census Tract 12.01",7.74232570435066
"39095006300","Census Tract 63",9.14124084898179
"39095002100","Census Tract 21",9.10116259763826
"39095001303","Census Tract 13.03",9.0575547168066
"39095000600","Census Tract 6",9.20514496677606
"39095004200","Census Tract 42",9.27139174310455
"39095005503","Census Tract 55.03",8.69597203283422
"39095007901","Census Tract 79.01",8.82940940411547
"39095009202","Census Tract 92.02",8.63047404324681
"39095009300","Census Tract 93",6.9543827327902
"39095009400","Census Tract 94",6.95017965731524
"39095009500","Census Tract 95",6.88369656061917
"39095009700","Census Tract 97",6.71362846883221
