"GEOID","NAMELSAD","Particulate.Matter"
"39099810800","Census Tract 8108",7.77040479992271
"39099801100","Census Tract 8011",8.64805529116323
"39099801400","Census Tract 8014",8.61149135280063
"39099801500","Census Tract 8015",8.40188064549795
"39099801600","Census Tract 8016",8.45208478251516
"39099801700","Census Tract 8017",8.62190565410823
"39099802100","Census Tract 8021",8.46590913928608
"39099802300","Census Tract 8023",8.40810189340088
"39099802400","Census Tract 8024",8.40265597772436
"39099802701","Census Tract 8027.01",7.89900814319703
"39099800300","Census Tract 8003",6.7649254756907
"39099810200","Census Tract 8102",8.67986214876366
"39099812400","Census Tract 8124",7.68802825905778
"39099801300","Census Tract 8013",8.90078448365204
"39099813500","Census Tract 8135",6.61849166581268
"39099801000","Census Tract 8010",8.81867765934345
"39099811500","Census Tract 8115",7.05768310256092
"39099813400","Census Tract 8134",6.2597468546555
"39099811600","Census Tract 8116",7.59714989756
"39099813000","Census Tract 8130",6.60238506228251
"39099813300","Census Tract 8133",6.31235176479464
"39099811001","Census Tract 8110.01",7.24661796591919
"39099802702","Census Tract 8027.02",8.06432473649813
"39099812100","Census Tract 8121",6.35017836643731
"39099811901","Census Tract 8119.01",8.28816526031634
"39099813700","Census Tract 8137",8.7646672037015
"39099814000","Census Tract 8140",8.47839216216063
"39099813900","Census Tract 8139",8.56682532547761
"39099814100","Census Tract 8141",8.47737580171917
"39099813600","Census Tract 8136",6.81198138752092
"39099802500","Census Tract 8025",8.44759968305553
"39099811902","Census Tract 8119.02",7.40063580190948
"39099802600","Census Tract 8026",8.18746791620759
"39099813800","Census Tract 8138",6.91702717395827
"39099811700","Census Tract 8117",8.3550587547252
"39099811800","Census Tract 8118",8.3761898584565
"39099812001","Census Tract 8120.01",8.1520088935375
"39099812002","Census Tract 8120.02",6.89648240497569
"39099812200","Census Tract 8122",6.94399426384766
"39099812301","Census Tract 8123.01",7.93542731821435
"39099811002","Census Tract 8110.02",6.60227801483902
"39099811100","Census Tract 8111",7.36445662432597
"39099811200","Census Tract 8112",7.77045552824707
"39099811300","Census Tract 8113",8.39658756614627
"39099812602","Census Tract 8126.02",6.50798817411384
"39099812302","Census Tract 8123.02",7.65026092156209
"39099810600","Census Tract 8106",8.72286307300442
"39099810900","Census Tract 8109",6.70447496203895
"39099812601","Census Tract 8126.01",7.15176382462585
"39099810700","Census Tract 8107",7.99804335377537
"39099804000","Census Tract 8040",8.45842065018823
"39099804100","Census Tract 8041",8.28839773999608
"39099804200","Census Tract 8042",8.2110440178994
"39099804300","Census Tract 8043",8.33481762117277
"39099810100","Census Tract 8101",7.32410359684799
"39099810300","Census Tract 8103",8.2918865412742
"39099802800","Census Tract 8028",7.66021362908857
"39099802900","Census Tract 8029",8.49552666403711
"39099803000","Census Tract 8030",8.45726005211111
"39099812500","Census Tract 8125",6.84613303984179
"39099800400","Census Tract 8004",6.44939682662178
"39099800500","Census Tract 8005",7.70490206534383
"39099800600","Census Tract 8006",8.1893781699737
"39099801200","Census Tract 8012",8.86552648946714
"39099811400","Census Tract 8114",8.3689266177644
"39099812603","Census Tract 8126.03",6.35564965066062
"39099812700","Census Tract 8127",6.3149166806329
"39099812800","Census Tract 8128",6.27446598504977
"39099812900","Census Tract 8129",6.16563506506428
"39099813200","Census Tract 8132",7.25673208338517
