"GEOID","NAMELSAD","Particulate.Matter"
"17121952500","Census Tract 9525",8.61333470395918
"17121952400","Census Tract 9524",8.35242868108687
"17121952200","Census Tract 9522",8.09653926022031
"17121951700","Census Tract 9517",8.18180195754867
"17121952600","Census Tract 9526",9.66297050922026
"17121952700","Census Tract 9527",8.4345157724965
"17121952300","Census Tract 9523",8.17166707250173
"17121951800","Census Tract 9518",8.31622236538057
"17121951600","Census Tract 9516",8.03228982151349
"17121951900","Census Tract 9519",8.36640610024002
"17121952100","Census Tract 9521",8.6791082986683
"17121952000","Census Tract 9520",8.48121621831521
