"GEOID","NAMELSAD","Particulate.Matter"
"01095030701","Census Tract 307.01",7.33786858417139
"01095030401","Census Tract 304.01",6.78950146579556
"01095030903","Census Tract 309.03",7.80714862066227
"01095030702","Census Tract 307.02",7.51087708437921
"01095030904","Census Tract 309.04",7.15131904002241
"01095031100","Census Tract 311",7.24434510051949
"01095030801","Census Tract 308.01",7.34846099377904
"01095030201","Census Tract 302.01",6.9148960097004
"01095030902","Census Tract 309.02",7.30553345154587
"01095030600","Census Tract 306",7.4271344061369
"01095030300","Census Tract 303",7.10416680399071
"01095031200","Census Tract 312",7.41848171449243
"01095030802","Census Tract 308.02",7.28872050393225
"01095030100","Census Tract 301",7.06185148897783
"01095030500","Census Tract 305",6.86472876348155
"01095030202","Census Tract 302.02",7.29417230797433
"01095031000","Census Tract 310",7.16617271012663
"01095030402","Census Tract 304.02",6.70723207711202
