"GEOID","NAMELSAD","Particulate.Matter"
"17113001302","Census Tract 13.02",9.32781812755429
"17113005602","Census Tract 56.02",6.73324844043726
"17113005202","Census Tract 52.02",6.8687763786623
"17113005400","Census Tract 54",6.78361882771742
"17113000105","Census Tract 1.05",6.81279888882622
"17113000104","Census Tract 1.04",7.07986182366051
"17113005502","Census Tract 55.02",6.91081345468555
"17113005700","Census Tract 57",6.85246489550477
"17113005601","Census Tract 56.01",6.71890412629527
"17113000400","Census Tract 4",9.30000019073486
"17113001301","Census Tract 13.01",9.31671989001869
"17113005501","Census Tract 55.01",6.79070361209601
"17113000200","Census Tract 2",9.00484506322494
"17113001402","Census Tract 14.02",7.03573946364321
"17113001200","Census Tract 12",9.27247536916626
"17113001303","Census Tract 13.03",9.26469054328066
"17113001500","Census Tract 15",9.19566329319532
"17113001600","Census Tract 16",9.33624820276919
"17113001700","Census Tract 17",9.30000019073486
"17113001800","Census Tract 18",9.19980575054796
"17113002101","Census Tract 21.01",7.31648944211615
"17113002102","Census Tract 21.02",6.89547631126519
"17113005201","Census Tract 52.01",6.76350056960006
"17113000102","Census Tract 1.02",8.58228304680566
"17113005800","Census Tract 58",9.11411525766371
"17113001404","Census Tract 14.04",8.21766837918583
"17113001106","Census Tract 11.06",8.92679470299986
"17113005101","Census Tract 51.01",6.76007343193571
"17113001403","Census Tract 14.03",8.3824542568105
"17113000301","Census Tract 3.01",8.921046867856
"17113000302","Census Tract 3.02",7.53255910151467
"17113000501","Census Tract 5.01",9.35759556379256
"17113000502","Census Tract 5.02",9.29663512281122
"17113000504","Census Tract 5.04",8.09307637180507
"17113000505","Census Tract 5.05",7.23275747319619
"17113001103","Census Tract 11.03",8.05702118551848
"17113001104","Census Tract 11.04",6.86121814372672
"17113005102","Census Tract 51.02",6.83886383038675
"17113001105","Census Tract 11.05",8.20554839528948
"17113005900","Census Tract 59",9.2628641651653
"17113006000","Census Tract 60",6.78804071265889
