"GEOID","NAMELSAD","Particulate.Matter"
"37141920102","Census Tract 9201.02",5.80673853979899
"37141920101","Census Tract 9201.01",5.80985507283809
"37141920201","Census Tract 9202.01",5.88766758083721
"37141920401","Census Tract 9204.01",5.85572242347807
"37141920602","Census Tract 9206.02",6.00501373993263
"37141920103","Census Tract 9201.03",5.73096503001492
"37141920203","Census Tract 9202.03",5.95821262885497
"37141920601","Census Tract 9206.01",5.91176989637874
"37141920204","Census Tract 9202.04",5.67381958149125
"37141920402","Census Tract 9204.02",5.78054262250928
"37141920501","Census Tract 9205.01",5.8411154446166
"37141920502","Census Tract 9205.02",5.91913897165843
"37141920202","Census Tract 9202.02",5.90863036962147
"37141920403","Census Tract 9204.03",5.73766911113151
"37141920300","Census Tract 9203",5.77322673215074
