"GEOID","NAMELSAD","Particulate.Matter"
"04019004115","Census Tract 41.15",5.23999978892288
"04019004719","Census Tract 47.19",4.48021458891194
"04019004720","Census Tract 47.20",5.49555626945739
"04019004724","Census Tract 47.24",5.19839070350925
"04019941000","Census Tract 9410",4.32067999175831
"04019004619","Census Tract 46.19",5.03268950383673
"04019004715","Census Tract 47.15",4.18099521040335
"04019004422","Census Tract 44.22",4.57327230505738
"04019004323","Census Tract 43.23",3.71043059038496
"04019004326","Census Tract 43.26",3.88933908018036
"04019004640","Census Tract 46.40",4.28557034899735
"04019005300","Census Tract 53",4.10035689207635
"04019004429","Census Tract 44.29",4.7189260644514
"04019004073","Census Tract 40.73",3.95728767121162
"04019004064","Census Tract 40.64",4.2384385842979
"04019004120","Census Tract 41.20",4.01483990147006
"04019004332","Census Tract 43.32",4.83542804410569
"04019004118","Census Tract 41.18",4.66573976125044
"04019004061","Census Tract 40.61",4.0428958957867
"04019004039","Census Tract 40.39",4.95080008315883
"04019004052","Census Tract 40.52",3.78116541338351
"04019004026","Census Tract 40.26",4.35268513509771
"04019004033","Census Tract 40.33",5.48699786957767
"04019004504","Census Tract 45.04",5.43258480158709
"04019004109","Census Tract 41.09",4.10027161983153
"04019004311","Census Tract 43.11",5.16560009926312
"04019004328","Census Tract 43.28",4.64595596781891
"04019004716","Census Tract 47.16",3.73607873084435
"04019004633","Census Tract 46.33",4.82282978072799
"04019004639","Census Tract 46.39",4.74205300827107
"04019004713","Census Tract 47.13",5.21712789089726
"04019004721","Census Tract 47.21",4.91352294405562
"04019940800","Census Tract 9408",4.66666807783142
"04019940900","Census Tract 9409",4.05389894044596
"04019000100","Census Tract 1",5.36405145411647
"04019000200","Census Tract 2",5.38884762216101
"04019002901","Census Tract 29.01",5.1657295331561
"04019002906","Census Tract 29.06",4.64703096979631
"04019002904","Census Tract 29.04",4.88342739018416
"04019004334","Census Tract 43.34",4.31618780937651
"04019004117","Census Tract 41.17",5.34894866375777
"04019002201","Census Tract 22.01",5.34247042055391
"04019004047","Census Tract 40.47",4.63678341152112
"04019004022","Census Tract 40.22",4.7214462593421
"04019004029","Census Tract 40.29",5.16031283931321
"04019004030","Census Tract 40.30",4.84047821644004
"04019004031","Census Tract 40.31",4.89578330898387
"04019004032","Census Tract 40.32",5.19186005691031
"04019002702","Census Tract 27.02",5.37597700358994
"04019002801","Census Tract 28.01",5.31063963725509
"04019002802","Census Tract 28.02",5.42736307289114
"04019002803","Census Tract 28.03",5.40000009536743
"04019004034","Census Tract 40.34",5.46406181503606
"04019004035","Census Tract 40.35",5.12271730182091
"04019004038","Census Tract 40.38",5.17935863502684
"04019004043","Census Tract 40.43",5.10280916217228
"04019004044","Census Tract 40.44",4.45281969796972
"04019004042","Census Tract 40.42",4.72305342132219
"04019004048","Census Tract 40.48",4.45556560023069
"04019004049","Census Tract 40.49",4.56502735492793
"04019004050","Census Tract 40.50",4.3977532917513
"04019004046","Census Tract 40.46",5.16532721390302
"04019004056","Census Tract 40.56",5.36773583837935
"04019004057","Census Tract 40.57",4.68886207579943
"04019004058","Census Tract 40.58",4.40398701675722
"04019004110","Census Tract 41.10",5.15834473142893
"04019004054","Census Tract 40.54",4.6760553225355
"04019004310","Census Tract 43.10",4.90080910290357
"04019004321","Census Tract 43.21",5.24845333335543
"04019004112","Census Tract 41.12",4.9642224971557
"04019004647","Census Tract 46.47",5.47277000028469
"04019004613","Census Tract 46.13",5.59988691984079
"04019004614","Census Tract 46.14",5.60833039576046
