"GEOID","NAMELSAD","Particulate.Matter"
"40125501003","Census Tract 5010.03",6.77741593830946
"40125500800","Census Tract 5008",7.51212341091257
"40125500500","Census Tract 5005",8.26054706247642
"40125501102","Census Tract 5011.02",6.85347920579322
"40125501300","Census Tract 5013",6.88154791639979
"40125501201","Census Tract 5012.01",6.84687930155126
"40125500200","Census Tract 5002",7.60198181683904
"40125501101","Census Tract 5011.01",7.22878413631433
"40125501001","Census Tract 5010.01",7.09720942218155
"40125500900","Census Tract 5009",7.25448667526685
"40125501004","Census Tract 5010.04",7.10951995499557
"40125500400","Census Tract 5004",9.16663753939958
"40125500600","Census Tract 5006",8.79189277655524
"40125500700","Census Tract 5007",7.68383400287738
"40125500302","Census Tract 5003.02",7.6947219426418
"40125500301","Census Tract 5003.01",8.16696006024394
