"GEOID","NAMELSAD","Particulate.Matter"
"05119001600","Census Tract 16",8.80472114925539
"05119001800","Census Tract 18",9.30813105965286
"05119001900","Census Tract 19",8.63143648232545
"05119002001","Census Tract 20.01",8.9980035533008
"05119002002","Census Tract 20.02",8.99980295753655
"05119002204","Census Tract 22.04",9.24683598247638
"05119002403","Census Tract 24.03",8.34339570601404
"05119002700","Census Tract 27",8.45373020637807
"05119002800","Census Tract 28",9.33725628461277
"05119002900","Census Tract 29",9.1874868283178
"05119003100","Census Tract 31",9.05055056714967
"05119003202","Census Tract 32.02",8.93300011463021
"05119002406","Census Tract 24.06",8.5181295120585
"05119002500","Census Tract 25",9.62165269546701
"05119002208","Census Tract 22.08",9.39618763496184
"05119002103","Census Tract 21.03",9.47454850256992
"05119004214","Census Tract 42.14",9.18541616152099
"05119003606","Census Tract 36.06",8.24534148048111
"05119004108","Census Tract 41.08",8.65685790777799
"05119003800","Census Tract 38",8.13114101325471
"05119002102","Census Tract 21.02",9.07400621690334
"05119004103","Census Tract 41.03",8.66399528748274
"05119004207","Census Tract 42.07",7.59930106797571
"05119000500","Census Tract 5",9.0583724410761
"05119001100","Census Tract 11",9.22230292500272
"05119001200","Census Tract 12",9.26009889804809
"05119001300","Census Tract 13",9.62663654226743
"05119004302","Census Tract 43.02",7.39734660057186
"05119003707","Census Tract 37.07",8.27786692861642
"05119004004","Census Tract 40.04",7.98711543929892
"05119004107","Census Tract 41.07",9.00696061087239
"05119002203","Census Tract 22.03",9.40184632972816
"05119003402","Census Tract 34.02",7.30948361712799
"05119004218","Census Tract 42.18",8.42232273662097
"05119004212","Census Tract 42.12",7.74193167966235
"05119002407","Census Tract 24.07",8.85163909403973
"05119001502","Census Tract 15.02",9.20147425300975
"05119004221","Census Tract 42.21",7.81776720706062
"05119003205","Census Tract 32.05",8.0349547800163
"05119004216","Census Tract 42.16",8.25415969683909
"05119004219","Census Tract 42.19",8.31931971870221
"05119004500","Census Tract 45",9.71065220564119
"05119003001","Census Tract 30.01",9.03112205813605
"05119003207","Census Tract 32.07",8.0844050835402
"05119003710","Census Tract 37.10",8.05920631655581
"05119004800","Census Tract 48",9.60315458513136
"05119004220","Census Tract 42.20",8.38773092023519
"05119003002","Census Tract 30.02",9.41400970164255
"05119003305","Census Tract 33.05",9.2764406512879
"05119003306","Census Tract 33.06",9.17548481077625
"05119004213","Census Tract 42.13",7.3480180198633
"05119004305","Census Tract 43.05",7.73307035682093
"05119003304","Census Tract 33.04",9.18774330236372
"05119003500","Census Tract 35",8.09261575546762
"05119003607","Census Tract 36.07",8.09175858114106
"05119003608","Census Tract 36.08",9.02256702866863
"05119004007","Census Tract 40.07",7.94926572652875
"05119004205","Census Tract 42.05",7.78200613973116
"05119003609","Census Tract 36.09",8.03663768467406
"05119003703","Census Tract 37.03",8.88956643576947
"05119003704","Census Tract 37.04",8.57643628501816
"05119002206","Census Tract 22.06",9.21915355738008
"05119004306","Census Tract 43.06",8.2716546140027
"05119004400","Census Tract 44",9.6742942657765
"05119004700","Census Tract 47",9.86578794436181
"05119004600","Census Tract 46",9.81992416773518
"05119004900","Census Tract 49",8.77450057680022
"05119003711","Census Tract 37.11",8.17451375572833
"05119004005","Census Tract 40.05",7.96230877497453
"05119000200","Census Tract 2",8.94313911679972
"05119004106","Census Tract 41.06",8.30648297592152
"05119003604","Census Tract 36.04",8.40623640038527
"05119002600","Census Tract 26",9.34800720322642
"05119002405","Census Tract 24.05",7.69399677753346
"05119003403","Census Tract 34.03",7.21492355590908
"05119004104","Census Tract 41.04",8.2329591870115
"05119003404","Census Tract 34.04",7.48183642409299
"05119004001","Census Tract 40.01",8.18716731145968
"05119004006","Census Tract 40.06",8.07546467928613
"05119004105","Census Tract 41.05",8.15447267517631
"05119004201","Census Tract 42.01",7.03046189087876
"05119003900","Census Tract 39",7.68795983547077
"05119003605","Census Tract 36.05",8.22799856379323
"05119004202","Census Tract 42.02",6.97389623800258
"05119004303","Census Tract 43.03",7.79897659474533
"05119003208","Census Tract 32.08",9.04231722010326
"05119003712","Census Tract 37.12",8.30375578535607
"05119001501","Census Tract 15.01",9.42344189565843
"05119002104","Census Tract 21.04",9.46548483622299
"05119002209","Census Tract 22.09",9.36087544356368
"05119004215","Census Tract 42.15",8.80893740713398
"05119003303","Census Tract 33.03",9.54055458183637
"05119003706","Census Tract 37.06",8.21797728540792
"05119003713","Census Tract 37.13",7.67770325904117
"05119002408","Census Tract 24.08",8.20864087340173
