"GEOID","NAMELSAD","Particulate.Matter"
"24035810700","Census Tract 8107",7.0020094070473
"24035810901","Census Tract 8109.01",7.03140063287251
"24035810800","Census Tract 8108",7.06662969972088
"24035810400","Census Tract 8104",7.01878072634573
"24035810200","Census Tract 8102",7.25846184484374
"24035810600","Census Tract 8106",6.90393890842358
"24035810100","Census Tract 8101",7.18118355800048
"24035810500","Census Tract 8105",7.07909668632095
"24035810300","Census Tract 8103",7.12490598641148
"24035810902","Census Tract 8109.02",7.00466637492799
"24035811000","Census Tract 8110",7.10238277898051
