"GEOID","NAMELSAD","Particulate.Matter"
"23025965700","Census Tract 9657",3.93102383592776
"23025965800","Census Tract 9658",4.23462546602063
"23025966500","Census Tract 9665",4.73497840410105
"23025966400","Census Tract 9664",4.67941692842077
"23025966300","Census Tract 9663",4.55588093356957
"23025966100","Census Tract 9661",4.43188058867275
"23025965302","Census Tract 9653.02",3.98431252231491
"23025965301","Census Tract 9653.01",4.12627358693926
"23025966900","Census Tract 9669",4.68463465454146
"23025965600","Census Tract 9656",3.88307921624901
"23025965900","Census Tract 9659",4.2296150439695
"23025966800","Census Tract 9668",4.37849186603673
"23025966600","Census Tract 9666",4.62345685432585
"23025966200","Census Tract 9662",4.21348169675581
"23025966700","Census Tract 9667",4.58478716578909
"23025966000","Census Tract 9660",4.33046411202696
"23025967000","Census Tract 9670",4.52383261179994
