"GEOID","NAMELSAD","Particulate.Matter"
"34035053000","Census Tract 530",8.40220208736895
"34035053705","Census Tract 537.05",8.11880492546616
"34035053801","Census Tract 538.01",8.11750139451899
"34035053706","Census Tract 537.06",8.00869450186216
"34035052903","Census Tract 529.03",7.70062289460453
"34035054300","Census Tract 543",8.41389896658298
"34035053403","Census Tract 534.03",7.7432377663727
"34035050701","Census Tract 507.01",8.08315463216574
"34035050703","Census Tract 507.03",8.14119952486184
"34035054100","Census Tract 541",7.3977908604112
"34035052904","Census Tract 529.04",7.46243721384963
"34035053603","Census Tract 536.03",7.96695120873582
"34035054202","Census Tract 542.02",7.24586784836726
"34035054201","Census Tract 542.01",7.2402295323732
"34035053707","Census Tract 537.07",7.80475172905118
"34035052204","Census Tract 522.04",6.90998962548026
"34035053904","Census Tract 539.04",7.44389757483777
"34035053604","Census Tract 536.04",8.02125994972124
"34035052203","Census Tract 522.03",6.87757480960371
"34035050200","Census Tract 502",8.29753712085962
"34035050400","Census Tract 504",8.25561266471701
"34035050500","Census Tract 505",8.19999980926514
"34035050600","Census Tract 506",8.15998955374926
"34035050901","Census Tract 509.01",7.38015421161383
"34035051100","Census Tract 511",8.30048429035574
"34035051200","Census Tract 512",8.28266631959353
"34035051300","Census Tract 513",8.01128319269603
"34035051400","Census Tract 514",8.41404068523119
"34035051500","Census Tract 515",8.45321845452943
"34035051700","Census Tract 517",7.81919148454676
"34035053402","Census Tract 534.02",7.36464836371115
"34035050100","Census Tract 501",8.26176936354692
"34035050801","Census Tract 508.01",8.08710333897316
"34035052400","Census Tract 524",7.19320838678211
"34035053501","Census Tract 535.01",8.33068569915694
"34035053905","Census Tract 539.05",7.64413657493572
"34035050704","Census Tract 507.04",8.13895589334286
"34035053404","Census Tract 534.04",8.00626504337784
"34035052800","Census Tract 528",7.04313097338159
"34035053300","Census Tract 533",8.29293306098398
"34035053805","Census Tract 538.05",8.14683979464265
"34035051000","Census Tract 510",8.3355878682739
"34035052601","Census Tract 526.01",7.0011021075844
"34035053703","Census Tract 537.03",7.16852534270232
"34035052901","Census Tract 529.01",7.19345152073147
"34035050903","Census Tract 509.03",7.1197969276826
"34035052002","Census Tract 520.02",7.65396823073385
"34035052201","Census Tract 522.01",6.94702078696827
"34035050300","Census Tract 503",8.2821627901467
"34035050902","Census Tract 509.02",7.69882874322438
"34035052100","Census Tract 521",7.52341526825418
"34035050802","Census Tract 508.02",8.00437675803212
"34035053602","Census Tract 536.02",7.69600346687616
"34035052603","Census Tract 526.03",7.3751127735218
"34035052700","Census Tract 527",6.46078495567017
"34035053804","Census Tract 538.04",8.06729369732183
"34035053901","Census Tract 539.01",7.44550648423128
"34035051600","Census Tract 516",8.42417114707149
"34035051800","Census Tract 518",7.92738019408607
"34035051900","Census Tract 519",7.9275216019777
"34035052001","Census Tract 520.01",7.69527774376621
"34035052300","Census Tract 523",7.21393933374867
"34035053102","Census Tract 531.02",8.45998329223232
"34035053103","Census Tract 531.03",8.37476425873085
"34035053105","Census Tract 531.05",8.52308307259179
"34035053200","Census Tract 532",8.36542498279235
"34035053704","Census Tract 537.04",8.01158427388506
"34035053803","Census Tract 538.03",7.86583684657785
