"GEOID","NAMELSAD","Particulate.Matter"
"55109120100","Census Tract 1201",7.67457454453975
"55109120904","Census Tract 1209.04",6.25835218715945
"55109120502","Census Tract 1205.02",6.13158068317183
"55109120201","Census Tract 1202.01",7.47039352411098
"55109120901","Census Tract 1209.01",6.59516846703005
"55109120501","Census Tract 1205.01",6.44295537529103
"55109120903","Census Tract 1209.03",6.95915960637106
"55109120202","Census Tract 1202.02",6.7904731633203
"55109120400","Census Tract 1204",6.77082655649096
"55109120800","Census Tract 1208",5.82085163069545
"55109120300","Census Tract 1203",7.23938173498664
"55109120600","Census Tract 1206",5.82490981931294
"55109120700","Census Tract 1207",5.64304101761604
"55109121000","Census Tract 1210",6.12749749723353
