"GEOID","NAMELSAD","Particulate.Matter"
"26149041101","Census Tract 411.01",6.50709010345601
"26149041102","Census Tract 411.02",6.43639952233563
"26149040800","Census Tract 408",6.97920036279984
"26149040400","Census Tract 404",6.39398319684454
"26149041400","Census Tract 414",6.75728216294806
"26149041500","Census Tract 415",6.47005603350824
"26149041200","Census Tract 412",6.34374111025303
"26149040100","Census Tract 401",6.67435796607128
"26149040200","Census Tract 402",6.92583927553346
"26149040300","Census Tract 403",6.62839695637291
"26149040500","Census Tract 405",7.08383831099291
"26149040600","Census Tract 406",7.17958168209589
"26149040700","Census Tract 407",7.0822139385008
"26149040900","Census Tract 409",6.36589142494598
"26149041300","Census Tract 413",6.31432071142812
"26149041600","Census Tract 416",6.60878110896423
"26149041000","Census Tract 410",6.29825142573494
