"GEOID","NAMELSAD","Particulate.Matter"
"35061970401","Census Tract 9704.01",5.38890743412721
"35061970200","Census Tract 9702",5.08313519473192
"35061970700","Census Tract 9707",4.57980139414707
"35061970800","Census Tract 9708",5.33832832887771
"35061970302","Census Tract 9703.02",3.88356363786363
"35061970101","Census Tract 9701.01",3.69143005981622
"35061971000","Census Tract 9710",4.51507276592489
"35061971300","Census Tract 9713",3.97737745942231
"35061970303","Census Tract 9703.03",4.44232235923676
"35061970301","Census Tract 9703.01",3.70283528914488
"35061970901","Census Tract 9709.01",5.18858201922125
"35061970102","Census Tract 9701.02",5.14742726592837
"35061970902","Census Tract 9709.02",4.28498716388385
"35061971100","Census Tract 9711",3.60370022608666
"35061940300","Census Tract 9403",3.67942975217232
"35061970405","Census Tract 9704.05",4.09449662030212
"35061970404","Census Tract 9704.04",5.14721818442023
"35061971400","Census Tract 9714",4.13134304128874
