"GEOID","NAMELSAD","Particulate.Matter"
"48469000201","Census Tract 2.01",8.13200925440363
"48469000202","Census Tract 2.02",7.56320185244099
"48469000301","Census Tract 3.01",7.05790662820066
"48469000302","Census Tract 3.02",7.05948381839057
"48469000400","Census Tract 4",7.23875335273681
"48469000501","Census Tract 5.01",8.39859655693896
"48469000601","Census Tract 6.01",8.3550393984965
"48469000602","Census Tract 6.02",8.64663083480806
"48469001501","Census Tract 15.01",7.02995199129374
"48469001601","Census Tract 16.01",8.24043090797512
"48469001604","Census Tract 16.04",8.01776381385691
"48469001605","Census Tract 16.05",7.37090139775329
"48469001503","Census Tract 15.03",7.54669139725741
"48469001504","Census Tract 15.04",7.27055875733707
"48469001606","Census Tract 16.06",7.03429976734145
"48469980000","Census Tract 9800",7.25480469158595
"48469000800","Census Tract 8",6.88132604391262
"48469000700","Census Tract 7",6.92175594303607
"48469001400","Census Tract 14",7.15330645333152
"48469000502","Census Tract 5.02",8.64814182216849
"48469001300","Census Tract 13",6.97887835798562
"48469001700","Census Tract 17",6.54475324572462
"48469000100","Census Tract 1",8.10542382819614
