"GEOID","NAMELSAD","Particulate.Matter"
"53075001000","Census Tract 10",5.02729166458563
"53075000100","Census Tract 1",6.5271744023371
"53075000900","Census Tract 9",4.59034136277996
"53075000600","Census Tract 6",4.17139914571927
"53075000200","Census Tract 2",4.29630818415204
"53075000300","Census Tract 3",4.03409827315427
"53075000800","Census Tract 8",4.43027979775013
"53075000400","Census Tract 4",3.75549870284226
"53075000700","Census Tract 7",4.25616322164518
"53075000500","Census Tract 5",5.53733718854061
