"GEOID","NAMELSAD","Particulate.Matter"
"41071030302","Census Tract 303.02",4.33127717879369
"41071030102","Census Tract 301.02",5.08340274741819
"41071030602","Census Tract 306.02",4.22468949481128
"41071030601","Census Tract 306.01",4.74768381216202
"41071030101","Census Tract 301.01",4.61120876118296
"41071030301","Census Tract 303.01",4.66777552119692
"41071030400","Census Tract 304",3.57536343570666
"41071030502","Census Tract 305.02",2.69577871459864
"41071030801","Census Tract 308.01",6.27516165971257
"41071030702","Census Tract 307.02",5.64221305077019
"41071030900","Census Tract 309",4.80413393544467
"41071031000","Census Tract 310",4.31450861993278
"41071030802","Census Tract 308.02",5.86564195657659
"41071030201","Census Tract 302.01",6.09201068051192
"41071030202","Census Tract 302.02",6.0847621995118
"41071030701","Census Tract 307.01",5.35545282685569
"41071030501","Census Tract 305.01",3.20740265842468
